frequency_penalty,presence_penalty,filepath,gpt2_scores,openai_scores,turnitin_scores
0.0,0.0,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.0_pp_0.0_prompt_num.txt,0.9556087851524352,0.94,84
0.0,0.1,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.0_pp_0.1_prompt_num.txt,0.999804437160492,0.99,100
0.0,0.2,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.0_pp_0.2_prompt_num.txt,0.0001720410509733,0.94,0
0.0,0.3,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.0_pp_0.3_prompt_num.txt,0.9998106360435486,0.94,100
0.0,0.4,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.0_pp_0.4_prompt_num.txt,0.0003999890759587,0.675,0
0.0,0.5,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.0_pp_0.5_prompt_num.txt,0.0712036415934562,0.675,100
0.1,0.0,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.1_pp_0.0_prompt_num.txt,0.0013448724057525,0.675,100
0.1,0.1,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.1_pp_0.1_prompt_num.txt,0.0139713482931256,0.675,100
0.1,0.2,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.1_pp_0.2_prompt_num.txt,0.9997925162315368,0.675,100
0.1,0.3,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.1_pp_0.3_prompt_num.txt,0.0001849114778451,0.675,0
0.1,0.4,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.1_pp_0.4_prompt_num.txt,0.9998083710670472,0.99,100
0.1,0.5,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.1_pp_0.5_prompt_num.txt,0.1128021106123924,0.675,0
0.2,0.0,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.2_pp_0.0_prompt_num.txt,0.3658879697322845,0.94,75
0.2,0.1,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.2_pp_0.1_prompt_num.txt,0.0001764460903359,0.94,26
0.2,0.2,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.2_pp_0.2_prompt_num.txt,0.0002673249982763,0.05,0
0.2,0.3,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.2_pp_0.3_prompt_num.txt,0.000171279272763,0.675,26
0.2,0.4,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.2_pp_0.4_prompt_num.txt,0.0001732234086375,0.94,43
0.2,0.5,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.2_pp_0.5_prompt_num.txt,0.0002432268229313,0.675,0
0.3,0.0,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.3_pp_0.0_prompt_num.txt,0.0001981488749152,0.675,0
0.3,0.1,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.3_pp_0.1_prompt_num.txt,0.1686775386333465,0.94,89
0.3,0.2,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.3_pp_0.2_prompt_num.txt,0.0001745187182677,0.05,0
0.3,0.3,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.3_pp_0.3_prompt_num.txt,0.0002038539678324,0.675,0
0.3,0.4,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.3_pp_0.4_prompt_num.txt,0.0002044494176516,0.05,0
0.3,0.5,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.3_pp_0.5_prompt_num.txt,0.962321639060974,0.94,57
0.4,0.0,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.4_pp_0.0_prompt_num.txt,0.0002762585063464,0.275,0
0.4,0.1,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.4_pp_0.1_prompt_num.txt,0.0008758077165111,0.05,0
0.4,0.2,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.4_pp_0.2_prompt_num.txt,0.0002016132057178,0.675,0
0.4,0.3,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.4_pp_0.3_prompt_num.txt,0.0002036499645328,0.05,0
0.4,0.4,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.4_pp_0.4_prompt_num.txt,0.0016897692112252,0.275,0
0.4,0.5,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.4_pp_0.5_prompt_num.txt,0.0003354854125063,0.05,0
0.5,0.0,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.5_pp_0.0_prompt_num.txt,0.0002745790116023,0.275,24
0.5,0.1,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.5_pp_0.1_prompt_num.txt,0.0002027610462391,0.05,0
0.5,0.2,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.5_pp_0.2_prompt_num.txt,0.000184659162187,0.675,0
0.5,0.3,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.5_pp_0.3_prompt_num.txt,0.0002974560775328,0.05,0
0.5,0.4,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.5_pp_0.4_prompt_num.txt,0.0003596814349293,0.275,0
0.5,0.5,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.5_pp_0.5_prompt_num.txt,0.0002368336718063,0.675,38
0.6,0.0,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.6_pp_0.0_prompt_num.txt,0.0002942484861705,0.05,0
0.6,0.1,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.6_pp_0.1_prompt_num.txt,0.0002775722241494,0.05,0
0.6,0.2,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.6_pp_0.2_prompt_num.txt,0.0001906898542074,0.05,35
0.6,0.3,C:\Users\vital\PycharmProjects\M12Project\parameter_optimization\optimization\texts\fp_0.6_pp_0.3_prompt_num.txt,0.0002054346405202,0.05,0
